eventid,url,dates,location,date,text,issue,event
SB 24,http://www.iisd.ca/vol12/enb12298e.html,15-26 May 2006,"Bonn, Germany",18 May 2006,"UNFCCC Executive Secretaries old and new were being discussed in the corridors on Wednesday. The first topic of conversation was the late start of the AWG's first meeting, which was pushed back from 10:00 am to 1:00 pm. The delay was due to disputes over the leadership of this new group that will deal with the sensitive issue of post-2012 commitments under Protocol Article 3.9. Apparently, there was some North-South/regional jostling over positions and also over the length of time the bureau would serve, with some preferring a one-year term over the two years served by SBI and SBSTA chairs. The consultations resulted in former UNFCCC Executive Secretary Michael Zammit Cutajar ' a highly respected figure in the climate process ' taking the chair, and Brazil's Luiz Alberto Figueiredo Machado accepting the Vice-Chair's post. However, disputes apparently remain over whether the rapporteur's position will go to a developing country or an economy-in-transition. There was also speculation over the next UNFCCC Executive Secretary, with some delegates noting that the UNFCCC Bureau had not yet been presented with a name by the 'powers that be' at UN headquarters in New York, although a shortlist was announced more than two months ago. However, one insider expected a decision 'within weeks rather than months.' Finally, early rumors about the possible venue of COP 13 and COP/MOP 3 in 2007 were already swirling, even though a decision is not due until COP 12 later this year. With 2007 being Asia-Pacific's turn to host the meeting, there was speculation that one south-east Asian nation might be interested. 'I won't say who, but it's north of Malaysia and begins with the letter 'T''.oh, and the capital is Bangkok,' added one rather transparent participant.",298,Twenty- Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings
SB 24,http://www.iisd.ca/vol12/enb12299e.html,15-26 May 2006,"Bonn, Germany",19 May 2006,"Discussions on future commitments under Kyoto Article 3.9 dominated chatter in the corridors on Thursday, as informal consultations under the AWG got underway. Before the evening session, several participants were cautious that a great deal of time would be spent on this issue over the coming days with relatively modest results. The chorus of those singing a similar tune was even larger by the time the session ended, as it became apparent that parties' positions were already quite rigid, and that finding common ground could be extremely difficult. In the words on one observer, it could require a 'superhuman effort' from AWG Chair Zammit Cutajar. Many were also focused on the possibility that the dark clouds gathering outside the conference center would soon become a feature inside, as the SBI turns its attention to the financial mechanism on Friday morning. Initial discussions in the session on non-Annex I communications concerning the GEF did little to dispel this feeling, and left several feeling uneasy about the impending discussion as they made their way to the EU reception on Thursday night.",299,Twenty- Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings
SB 24,http://www.iisd.ca/vol12/enb12301e.html,15-26 May 2006,"Bonn, Germany",22 May 2006,"While climate aficionados not attending SB 24 may have been fretting about the latest media flurry over Canadian politics and the Kyoto Protocol, the focus among delegates in Bonn was firmly on the many specific and sometimes technical issues being taken up in contact groups and informal consultations. On the SBI side, Saturday ended on a somewhat sour note, with several participants departing from the evening sessions on the Special Climate Change Fund and the Adaptation Fund grumbling about polarized positions and lack of willingness to compromise. Concerns about agenda overload at COP 12 and COP/MOP 2 were also on many people's lips, with some delegates expressing concerns over a possible 'competition' to ensure that their specific priorities ended up at the top of the list.",301,Twenty- Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings
SB 24,http://www.iisd.ca/vol12/enb12302e.html,15-26 May 2006,"Bonn, Germany",23 May 2006,"The AWG was the key focus on Monday, with delegates leaving the Maritim conference center late in the evening speculating over how the Chair's draft text with an 'approach to conclusions' would be received when discussions resume on Tuesday (for details of the text, see the section on the AWG, above). On a lighter note, some delegates were heard talking about the unpleasant odor that permeated the Maritim conference center on Monday afternoon. The source of the smell was eventually traced to a nearby sewage problem, prompting a variety of jokes linking it to discussions on CCS 'leakage' and methane control. 'I'm just glad it wasn't my colleague, actually' confessed one relieved delegate.",302,Twenty- Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings
SB 24,http://www.iisd.ca/vol12/enb12303e.html,15-26 May 2006,"Bonn, Germany",24 May 2006,"The consequences of making slow progress at SB 24 were being discussed in the corridors on Tuesday, as many delegates spent the day shuffling among the various contact group meetings and informal consultations. Optimists noted that while progress was sluggish, some movement could be detected on such matters as financing and on streamlining the five-year programme of work on adaptation. However, those of a more cynical persuasion saw things a little differently, particularly on the financing front. Several participants suggested that the growing size and scope of the compilation texts being prepared for SB 25 would add rather than subtract from the many hours of work needed in Nairobi. Resignation rather than surprise seemed to be the general mood, particularly among the veterans. 'What did you expect?' asked one old hand in the process, adding, 'there doesn't seem to be either the bodies or the will to resolve much here.' Even the AWG's plenary session generated less excitement than some had expected, with several participants noting a lack of momentum among parties to push the agenda forward too quickly.",303,Twenty- Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings
SB 24,http://www.iisd.ca/vol12/enb12304e.html,15-26 May 2006,"Bonn, Germany",25 May 2006,"With many contact groups and informal consultations finalizing work on issues ranging from technology transfer to privileges and immunities, some delegates seemed pleased at the progress made on Wednesday. However, others were not so sure. Some were heard suggesting that the early conclusion of work was not necessarily a positive sign. 'Most of the work is just being pushed forward to Nairobi,' claimed one veteran negotiator. Another observed that not all participants' attention seemed to be on the negotiations. 'The nicest thing about this meeting has been catching up with old friends and colleagues. Oh, and the ducklings living in the upstairs courtyard of the Maritim Hotel are soooo cute!' gushed one delegate.",304,Twenty- Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings
SB 24,http://www.iisd.ca/vol12/enb12305e.html,15-26 May 2006,"Bonn, Germany",26 May 2006,"A sense of relief was apparent among many participants shortly after midnight on Thursday night as the AWG finally completed its work. After lengthy informal consultations, AWG Chair Michael Zammit Cutajar successfully steered the first session to a close after a compromise was achieved that included new language on working 'expeditiously' towards agreement on further Annex I commitments. Many delegates seemed satisfied at the result, and those not involved in the final small group negotiations that finalized the deal will likely be poring over the document Friday morning. According to the late night talk in the corridors, that small group did not include the major non-parties to the Protocol, but did include other big emitters from both Annex I and non-Annex I.",305,Twenty- Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings
COP 12 - CMP 2,http://www.iisd.ca/vol12/enb12309e.html,6-17 November 2006,"Nairobi, Kenya",8 November 2006,"The AWG's in-session workshop appeared to generate some talk in the corridors. Discussions were widely regarded as candid, although one delegate described the workshop as a ""shadow-boxing"" exercise, while another commented: ""There is no single vision, no single truth"". However, others were more positive, noting that no consensus could possibly emerge for some time to come. ""At least we're talking about these issues openly now,"" said one delegate. Themes for further AWG workshops are under discussion. The Russian proposal on long-term commitments also generated discussion. Informal talks on Tuesday apparently did not lead to a breakthrough, with the current discussions being described by one observer as 'more of an agenda fight.' However, early reports suggest the proposal is likely to be part of the so-called 'multi-track process' on post-2012 issues for some time.",309,UN Climate Change Conference - Nairobi 2006
COP 12 - CMP 2,http://www.iisd.ca/vol12/enb12310e.html,6-17 November 2006,"Nairobi, Kenya",9 November 2006,"After its open and candid in-session workshop on Tuesday, politics seemed to regain control of the AWG on Wednesday, according to observers. Delegates were heard lamenting a 'return to the trenches' and well-rehearsed positions as the Group returned to its formal agenda. Agenda disputes seemed to be the order of the day in other venues, with some delegates discussing the difficulties faced by parties seeking to streamline SBI's agenda. Observers noted that the EU's efforts to fold two agenda items under SBI and SBSTA on adverse effects and response measures into just one had received short shrift from Saudi Arabia and others that place great emphasis on these particular issues. 'We're facing a heavy agenda, but it's almost impossible to get any group to sacrifice discussion time on their priority issues,' explained one delegate. In other news, a procession of delegations was noted entering and leaving the COP President's office on Wednesday as Kivutha Kibwana apparently spent the day taking the pulse of the negotiations with the key players.",310,UN Climate Change Conference - Nairobi 2006
COP 12 - CMP 2,http://www.iisd.ca/vol12/enb12311e.html,6-17 November 2006,"Nairobi, Kenya",10 November 2006,"Long-term issues were the talk of the corridors Thursday. The first discussions under Protocol Article 9 were widely anticipated by some, given many people's view of this as part of the 'multi-track' process on long-term action. In the event, though, the discussion was viewed as 'interesting, but not earth-shattering,' as parties generally reiterated their known positions. Unsurprisingly, the Russian proposal on voluntary commitments met staunch opposition from the G-77/China in plenary, even though some suggested that a number of developing countries may privately be somewhat sympathetic. 'It's not all over yet,' said one delegate. In other developments, participants were starting to talk about Kofi Annan's visit to Nairobi to address next week's high-level segment. (FROM",311,UN Climate Change Conference - Nairobi 2006
COP 12 - CMP 2,http://www.iisd.ca/vol12/enb12312e.html,6-17 November 2006,"Nairobi, Kenya",11 November 2006,"Delegates got down to the 'nitty gritty' stage of the meeting in earnest on Friday, with observers pointing to the proliferation of contact groups and informal meetings throughout the day. While some delegations were clearly busy, several observers expressed nervousness at the pace of some of the informal facilitation. 'While there are few definite outcomes required here, I have a sense that we might be storing up trouble for COP/MOP 3,' suggested one delegate. There was also some discussion in the corridors about the report from the UN Secretary-General's High-level Panel on System-wide Coherence, which was released at UN headquarters in New York on Thursday. The Panel, which is intended to give a shot-in-the-arm to UN reform, contains a recommendation to strengthen the GEF, and singled out climate change as an area for increased activity. The outcome clearly did not please everyone at the Nairobi conference, but whether it will have any impact on the current climate negotiations is as yet unclear.",312,UN Climate Change Conference - Nairobi 2006
COP 12 - CMP 2,http://www.iisd.ca/vol12/enb12314e.html,6-17 November 2006,"Nairobi, Kenya",14 November 2006,"'Intense!' was how one delegate described protracted discussions Monday as contact groups broke into small informals and bilaterals. Several experts began to worry that leaving too much unresolved by the end of the SBSTA and SBI sessions on Tuesday could result in too many issues being carried through to the high-level segment on Wednesday. 'It seems as if delegations are still collecting bargaining chips,' suggested another. Delegates have also been discussing UN Secretary-General Kofi Annan's visit to the COP to launch a major capacity building initiative on the CDM. Annan is reportedly planning to use the announcement to underline his particular concern for the world's poorest countries ' many of them in Africa ' that are least able to cope with the burden of climate change. His speech will also highlight the new threat climate change poses to the Millennium Development Goals. Meanwhile, NGOs in both Washington and Nairobi have been talking about plans by the UNFCCC Executive Secretary for a tour of the United States to brief leading figures in industry and politics, including incoming House speaker Nancy Pelosi.",314,UN Climate Change Conference - Nairobi 2006
SB 26,http://www.iisd.ca/vol12/enb12323e.html,7-18 May 2007,"Bonn, Germany",8 May 2007,"Delegates were reflecting on a low-key first day on Monday evening, with several referring to it as ""business as usual."" A few seemed optimistic about making progress on the Adaptation Fund at SB 26, while several were looking forward to more substantive discussions in the AWG later in the session. A couple of participants also commented on the prompt 6:00 pm finish, noting that SBI even beat its deadline by finishing earlier. ""I could get used to this,"" joked one. Looking outside the Bonn talks, a few delegates were commenting on the parallel CSD meeting in New York and WMO Congress in Geneva, which appear to have thinned out the ranks of negotiators and experts here in Bonn. Most delegates seemed to have modest expectations for SB 26, noting that this meeting is only part of the process, along with the G8, Vienna meetings, and others, that will contribute in the lead-up to Bali. ""We're not expecting much here, so no one should be disappointed,"" commented one observer. ""But, exciting times lie ahead over the coming months,"" he added.",323,Twenty- sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)
SB 26,http://www.iisd.ca/vol12/enb12324e.html,7-18 May 2007,"Bonn, Germany",9 May 2007,"Some delegates were discussing the ""agenda debates"" evident in plenary on Monday and Tuesday, with more than one expressing concern that some agenda items were being ""held hostage,"" with the trade-off being adequate consideration of other agenda items. ""These kind of disputes are nothing new, but this time it seems more deliberate and premeditated,"" observed one veteran negotiator. Several participants brought up Yvo de Boer's planned quick trip to New York for the formal announcement of the Secretary-General's high-profile ""special envoys"" on climate change. Apparently, the plane that was supposed to take Mr. de Boer to New York was delayed, meaning he was unable to travel after all. Meanwhile, a number of delegates noted with satisfaction the positive atmosphere at the CDM Executive Board's lunchtime question-and-answer session, contrasting it with some of the earlier, far more divisive sessions. While some participants highlighted the remaining problems with equitable distribution and sustainable development indicators, many commended the Board for its recent work.",324,Twenty- sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)
SB 26,http://www.iisd.ca/vol12/enb12325e.html,7-18 May 2007,"Bonn, Germany",10 May 2007,"After the contact group meeting on the Adaptation Fund, several delegates commented on the convivial mood in the negotiations compared with some previous sessions. Some wondered if this was due to some new faces in the group and the departure of others. However, several observers felt that the mood was simply a reflection of forward progress on this issue since Nairobi. Meanwhile, some delegates were discussing earlier predictions that the Bali conference later this year might be the ""reducing deforestation COP."" Some now seemed pessimistic that much could be expected in Bali, noting the growing realization that the issue is ""highly complex"" and that ""a quick fix might not be possible."" Others, however, expressed greater optimism, with a brave few predicting a significant outcome in Bali on this topic.",325,Twenty- sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)
SB 26,http://www.iisd.ca/vol12/enb12326e.html,7-18 May 2007,"Bonn, Germany",11 May 2007,"There was relief among some delegates at the resolution of the dispute over the agenda item on Decision 1/CP.10 in the short SBI plenary on Thursday. ""This means we can now start talking about adaptation under this agenda item in earnest,"" said one observer. However, others lamented that the way the item was resolved will mean that the discussion on impacts of climate change and impacts of response measures will remain as ""conjoined twins with no possibility of surgery to separate them."" Many delegates, though, seemed to be engaged in a ""procession"" of contact group, informal, drafting group and bilateral discussions throughout Thursday, as parties continued to work through the ""nitty gritty"" details of the SBI and SBSTA agendas. ""Don't ask me what the big picture looks like-right now I can't see the wood for trees!"" said one participant emerging from the deforestation discussions.",326,Twenty- sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)
SB 26,http://www.iisd.ca/vol12/enb12327e.html,7-18 May 2007,"Bonn, Germany",12 May 2007,"The workshop on the Russian proposal was the subject of discussion in the corridors on Friday, with one delegate declaring, ""They have brought every controversial issue out into the open!"" While many were questioning the wisdom of raising sensitive issues such as developing country ""commitments"" at this stage in the process, a few seemed more sanguine: ""At least we're clear on what the Russian proposal is all about, and we all know what these 'unspoken' issues are anyway, whatever our views on them might be,"" reflected one. ""I don't think that holding this now will make much difference to the long-term process one way or another,"" claimed one developing country delegate. Meanwhile, some delegates were noting that the afternoon mitigation workshop was not so well attended. ""Some of the presentations were interesting, but it felt a bit empty in the main plenary hall,"" commented one observer. On the margins of the plenary halls, talks continued in contact groups and informal consultations, with some negotiators expressing satisfaction at progress made in many groups. This was not the case in every group, though, with one lead negotiator walking out of the technology transfer informals at one stage after discussions on the functions of the proposed constituted body became bogged down.",327,Twenty- sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)
SB 26,http://www.iisd.ca/vol12/enb12328e.html,7-18 May 2007,"Bonn, Germany",14 May 2007,"Some delegates were discussing the budget negotiations on Saturday, with several developing country and NGO representatives frustrated at a suggestion of no increase. ""The original proposal for a 3.3% rise seems modest given what the IPCC is telling us about the imminent dangers of climate change. A zero increase just seems unfair,"" said one. Others, however, justified the ""no change"" scenario by arguing that scope remained to find further cost efficiencies and synergies. Some parties were also discussing the bleak news from CSD-15, which ended without a negotiated outcome. ""I suspect we may see some hardening of positions here in Bonn emanating from the poor result in New York,"" speculated one negotiator.",328,Twenty- sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)
SB 26,http://www.iisd.ca/vol12/enb12329e.html,7-18 May 2007,"Bonn, Germany",15 May 2007,"Delegates seemed satisfied that several contact groups had wrapped up their work by Monday afternoon, although some concerns were surfacing about the group working on technology transfer. With divisions remaining on the constituted body and reporting process, some participants were expressing fears that it might not be resolved in time for Bali. ""I'm concerned about the growing workload we're accumulating for COP 13 and COP/MOP 3,"" said one. Some participants were also discussing the slow pace of negotiations on deforestation, with frustration surfacing among a few. As one delegate said, ""How many commas does it take to save a rainforest?"" On a lighter note, a number of delegates were claiming to have noticed a sudden ""coolness"" in relations between certain EU and Umbrella Group officials. On further inquiry, however, it turned out that the ""chill in the air"" was due to Canada's victory over Finland to take the world title in ice hockey, rather than to any diplomatic dispute. In one informal group, one loyal Finnish chair even proposed a minute's silence to mark his team's defeat.",329,Twenty- sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)
SB 26,http://www.iisd.ca/vol12/enb12330e.html,7-18 May 2007,"Bonn, Germany",16 May 2007,"Some delegates were detecting an increase in energy levels on Tuesday, with discussions on mitigation and the evening AWG session eliciting comments. While some delegations were praising the ""positive"" and ""useful"" discussions on mitigation over the past two days, others were suggesting that the talk in the round-table and in-session workshops must now translate into a shift in parties' positions. ""How many workshops does it take for us to convert to energy-efficient light bulbs?"" asked one. Meanwhile, perplexity persisted in the deforestation discussions, with several delegates describing the situation as ""a mess."" One esoterically-inclined participant felt the discussions were in danger of moving ""away from text to philosophy,"" posing the question: ""If a delegate falls over in a forest and nobody hears, has he really fallen?""",330,Twenty- sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)
SB 26,http://www.iisd.ca/vol12/enb12331e.html,7-18 May 2007,"Bonn, Germany",17 May 2007,"Delegates leaving the AWG consultations late on Wednesday evening seemed in a buoyant mood, noting good progress on ""adding flesh to the bones"" of the list presented earlier in the contact group. ""I'm cautiously optimistic that we might finalize our conclusions for this session by Thursday evening,"" said one. A few participants were also commenting on the start of the Convention Dialogue. ""I was hoping that the Dialogue would air issues that might not be discussed in the formal negotiations, but there were few new ideas or proposals emerging,"" commented one delegate. Not everyone agreed, though, with some observers noting the more participatory nature of this discussion compared with previous ones. A few delegates also felt that some key messages, such as the potential of sectoral approaches, were being articulated more clearly here than in the past.",331,Twenty- sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)
SB 26,http://www.iisd.ca/vol12/enb12332e.html,7-18 May 2007,"Bonn, Germany",18 May 2007,"Various views were expressed by delegates departing the plenary at the end of the Dialogue workshop on Thursday afternoon. While some were disappointed that the talk had yet to translate into action, others seemed pleased at the relatively ""open"" and ""constructive"" exchanges. ""It is hard to say where this is leading us, but something seems to be slowly taking shape,"" said one observer looking ahead to the fourth and final workshop in Vienna. ""I suspect parties will be studying some interesting proposals from South Africa and others on possible ways forward,"" observed another. Meanwhile, as delegates left the AWG contact group on Thursday evening to start Friends of the Chair talks, some were reflecting on the sensitive nature of the discussions. ""The contact group was fine, but I suspect we will see the difficult, political issues such as ranges and timetables bog things down now we're going into informals,"" cautioned one.",332,Twenty- sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)
AWG-4,http://www.iisd.ca/vol12/enb12335e.html,27-31 August 2007,"Vienna, Austria",28 August 2007,"On the first day, the mood in the corridors was positive and cautiously optimistic with many delegates feeling energetic after the summer break and pleased with the largely positive spirit shown at the AWG's opening session. Also the Dialogue discussion on building blocks was seen as continuing the constructive spirit shown in Bonn. In the corridors, some delegates were discussing a US intervention, which reiterated plans for a Washington-sponsored process involving major emitters. The alternative visions that some see emerging from the UN sponsored process and the US are: an enhanced carbon market, with a flourishing CDM, with hard targets versus the alternative vision of a soft regime of ""pledge and review"". Some questioned the extent to which the US gambit can influence the UNFCCC process, now that the prospect of a maturing carbon market and an enhanced CDM possibly delivering billions of dollars of investment to developing countries triggered by deep cuts in emissions. Some delegates were also discussing what they called a ""surprise"" submission by AOSIS, which proposes differentiation for non-Annex I parties in the second commitment period. Some praised the group for their ""courageous"" intervention.",335,Vienna Climate Change Talks 2007 - AWG 4 and the Dialogue 4
AWG-4,http://www.iisd.ca/vol12/enb12336e.html,27-31 August 2007,"Vienna, Austria",29 August 2007,"The Dialogue's focus on the Secretariat's report on the role of finance and investment flows stimulated a number of conversations in the corridors. Some observers were impressed by the delegates' thoughtful responses to the study. Many viewed the exchanges as a foretaste of things to come, with finance and trade ministries being targeted by the Government of Indonesia for high-level sessions parallel to COP 13. While discussions on investment invited familiar developing country concerns about the risks of relying too heavily on flows of private investment, delegates were also in a self-congratulatory mood as they recognized that the detailed discussion had 'opened a new and important door in the process.' Informal discussions and bilaterals, involving delegations and NGO representatives, took place in advance of Wednesday's contact group meeting to be convened by the chair of the AWG. Delegates were reported to be working on a draft text during informals Tuesday evening.",336,Vienna Climate Change Talks 2007 - AWG 4 and the Dialogue 4
AWG-4,http://www.iisd.ca/vol12/enb12337e.html,27-31 August 2007,"Vienna, Austria",30 August 2007,"In the corridors, many delegates discussed the series of bilaterals conducted by the AWG Chair in the run-up to the AWG contact group as well as the draft conclusions, distributed on Wednesday evening. While some delegates saw the text as a good starting point, others believed that 'tactical' issues had come into play to influence the format. Some Annex I delegates indicated that they had hoped to achieve more on the identification of potentials and ranges for possible emission reductions at the Vienna session but saw this as increasingly unlikely on Wednesday as differences, for example, over the future role and development of flexible mechanisms entered the equation. Other delegates expressed a preference for modest conclusions from Vienna, as the alternative might result in taking forward a bracketed text to Bali. As one observer commented: 'If they can't agree, then let them say so.' Most delegates anticipate further discussion on references to stabilization pathways and other issues in the chair's draft when informal negotiations reconvene Thursday.",337,Vienna Climate Change Talks 2007 - AWG 4 and the Dialogue 4
COP 13 - CMP 3,http://www.iisd.ca/vol12/enb12344e.html,3-15 December 2008,"Bali, Indonesia",4 December 2008,"Delegates were heard praising Australia's announcement that the new government intends to ratify the Kyoto Protocol. The declaration by Australia was greeted with applause in plenary, and some participants saw it as an additional source of momentum alongside several ""ambitious"" and ""detailed"" proposals for the roadmap from parties. Several delegates were also warning that a very busy schedule lay ahead - especially during the second week. While some seemed very optimistic that an agreement on a future negotiating agenda and 2009 deadline for talks would be agreed in Bali, not everyone was so sanguine. ""A Bali roadmap would of course be the right outcome, but nothing is guaranteed in this process,"" said one veteran. Meanwhile, some delegates were noting the ""inauspicious start"" to SBI, with an agenda dispute over adding an item on technology transfer. While this new item had apparently been agreed by the COP earlier in the day, others were suggesting that it had been agreed largely ""because some parties were not paying attention in plenary"" or were confused about the proposal. Informal consultations on technology transfer continued into the night.",344,United Nations Climate Change Conference - Bali
COP 13 - CMP 3,http://www.iisd.ca/vol12/enb12346e.html,3-15 December 2008,"Bali, Indonesia",6 December 2008,"'More complicated and hectic than ever,' is how one delegate described the climate process as Wednesday drew to a close. With the COP, COP/MOP, AWG, SBI and SBSTA completing their initial discussions, dozens of agenda items are now set to be taken up in more than 30 contact groups and informal negotiations. Many participants were complaining about agenda overload and fretting about how they could keep up with the many different but in many cases closely-connected discussions. 'I'm struggling to wrap my head around everything on the table,' said one. Meanwhile, a number of delegates seemed satisfied at least with the initial discussions on Wednesday regarding the various elements of the all-important post-2012 question, including the Convention Dialogue, AWG, and other aspects such as the Review under Protocol Article 9 and the Russian proposal. 'I'm still not sure how this will all come together, though,' noted one veteran.",346,United Nations Climate Change Conference - Bali
COP 13 - CMP 3,http://www.iisd.ca/vol12/enb12347e.html,3-15 December 2008,"Bali, Indonesia",7 December 2008,"As delegates hurried from one contact group or informal consultation to the next on Thursday, some were heard commenting on meeting 'overload.' With even more issues on the table than usual and the UN guideline limiting simultaneous formal meetings to two, many contact groups were much shorter than usual ' just 30 minutes in some cases. Most Chairs were quick to push discussions into 'informal' or small group consultations, where the rule limiting the number of parallel meetings does not apply. However, some delegates were wondering whether even this approach could deliver strong outcomes across all agenda items. 'Time is ridiculously short to develop text,' said one negotiator, while another observed that, with so many informal consultations, many delegates were 'double booked' and unable to give each issue the attention it deserved. 'I suspect that we will adopt a 'holding pattern' on some of the non-critical issues and push back real discussions to SB 28,' speculated one participant. 'That way, we can stay focused on the important post-2012 issues here in Bali,' she added. Meanwhile, several delegates were commenting on a local newspaper's front page story suggesting that developing countries had endorsed the GEF to 'manage' the Adaptation Fund, with some claiming the story was misleading and unhelpful. 'While the GEF's involvement now seems highly likely, the exact nature of its role has yet to be confirmed,' said one delegate.",347,United Nations Climate Change Conference - Bali
COP 13 - CMP 3,http://www.iisd.ca/vol12/enb12348e.html,3-15 December 2008,"Bali, Indonesia",8 December 2008,"Consultations on the possibility of a technology fund were the subject of some discussion in the corridors on Friday, with some seeing this as a positive step, and others still considering how to react. 'It's nice to see some movement on developing country concerns,' observed one delegate from the South. A few delegates were talking about a change of personnel in the G-77/China, with a lead negotiator leaving for another mission Friday afternoon. Meanwhile, others were also commenting on the informal trade ministerial taking place in Bali this weekend, with a few wondering what impact it might have, if any. One thing delegates did not seem to be discussing was the earthquake in Bali that occurred on Friday evening during the COP President's reception event. 'Was there an earthquake?' asked one delegate.",348,United Nations Climate Change Conference - Bali
COP 13 - CMP 3,http://www.iisd.ca/vol12/enb12349e.html,3-15 December 2008,"Bali, Indonesia",10 December 2008,"Buzz in the corridors on Saturday evening was mostly about the non-paper developed by the Co-Facilitators of the group discussing long-term action under the Convention. 'I can see the post-2012 talks and the Bali roadmap finally taking shape,' said one delegate. A few were pointing out that the text referred to 'quantified national emission objectives,' which might be viewed as a 'step back' from Kyoto's language on 'quantified emission limitation or reduction commitments.' Some observed that the language in the text was likely to be acceptable to a wider range of parties, thus making agreement more likely. 'Besides, this is just a draft ' anything could happen to it in the coming days,' added one observer. News that the Bali roadmap is to take the form of a 'President's Declaration' triggered speculation about the timing of the COP President's announcement. Some felt that the timing would provide an early opportunity for parties to respond to the proposal to use the President's statement as a device to wrap up elements of decisions of both the COP and COP/MOP. Others noted the likely role of the roadmap in striking a balance between the implementation of current commitments and the future of the climate regime.",349,United Nations Climate Change Conference - Bali
COP 13 - CMP 3,http://www.iisd.ca/vol12/enb12350e.html,3-15 December 2008,"Bali, Indonesia",11 December 2008,"Delegates were reporting mixed results on Monday in their scramble to finish work under the multitude of SBI and SBSTA agenda items. One notable success was the agreement on Monday evening on the Adaptation Fund, with the final text being greeted by enthusiastic applause. 'The decision on the GEF as the Secretariat and the World Bank as trustee was widely expected, although the reference to this as an interim arrangement up for review every three years was a surprise to me,' said one observer. 'I think most of us are delighted to have finalized the Fund whether you like the precise details or not,' added another. Meanwhile, delegates were also discussing the Co-Facilitators' 'non-paper' on the Convention track distributed late on Saturday. While there was almost universal endorsement of the text as a sound basis for negotiations, the jury was still out on the ability of parties to project a common vision in a Bali roadmap. Some parties were already positioning themselves for several long days of talks, with initial sparring reported regarding language on targets, and which countries these should apply to. 'The text is a good start, but I don't think we'll see an agreement on the roadmap before Friday,' warned one. Some also predicted that the second review of the Protocol under Article 9 and even the AWG would be sent to ministers and solved at the end of the meeting. Delegates were also talking about the IPCC's Nobel Peace Prize, which was awarded today in Oslo and screened live to delegates in one of the Bali conference rooms. Unfortunately, and somewhat ironically, some delegates were unable to view the event, since they remained locked in evening negotiations'. on text about the IPCC.",350,United Nations Climate Change Conference - Bali
